Date,Cases,Deaths
2020-01-08,0,0
2020-01-09,0,0
2020-01-10,0,0
2020-01-11,0,0
2020-01-12,0,0
2020-01-13,0,0
2020-01-14,0,0
2020-01-15,1,0
2020-01-16,0,0
2020-01-17,1,0
2020-01-18,0,0
2020-01-19,0,0
2020-01-20,0,0
2020-01-21,1,0
2020-01-22,2,0
2020-01-23,0,0
2020-01-24,2,0
2020-01-25,1,0
2020-01-26,0,0
2020-01-27,1,0
2020-01-28,0,0
2020-01-29,0,0
2020-01-30,0,0
2020-01-31,0,0
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,4,0
2020-02-04,0,0
2020-02-05,1,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,1,0
2020-02-09,1,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,1,0
2020-02-13,1,0
2020-02-14,2,0
2020-02-15,1,0
2020-02-16,3,0
2020-02-17,0,0
2020-02-18,1,0
2020-02-19,0,0
2020-02-20,3,0
2020-02-21,3,0
2020-02-22,3,0
2020-02-23,5,0
2020-02-24,6,0
2020-02-25,7,0
2020-02-26,3,0
2020-02-27,8,0
2020-02-28,9,0
2020-02-29,19,0
2020-03-01,20,0
2020-03-02,14,0
2020-03-03,35,0
2020-03-04,32,0
2020-03-05,29,0
2020-03-06,33,0
2020-03-07,48,0
2020-03-08,57,0
2020-03-09,101,1
2020-03-10,139,0
2020-03-11,152,0
2020-03-12,168,0
2020-03-13,171,0
2020-03-14,160,0
2020-03-15,184,0
2020-03-16,211,3
2020-03-17,224,4
2020-03-18,247,1
2020-03-19,228,3
2020-03-20,243,1
2020-03-21,186,5
2020-03-22,150,3
2020-03-23,141,3
2020-03-24,102,3
2020-03-25,106,8
